dia,titulo,driveId,r2Key,obs
0,Boas-vindas,1LLQHns8ICZ_ChpdCI-RJi6Z4oEH54ldY,videos/boas-vindas.mp4,compartilhada entre as 3 trilhas
1,Raízes do Bloqueio – O que seu corpo está tentando te contar?,1PMdHgTOS7Vv5oqn23flwmxerkR92IMjs,videos/aula1.mp4,compartilhada entre as 3 trilhas
2,O Checklist da Fertilidade – Seu mapa para começar a agir,1XTmLp9zqRYbw_u-m9DsCcSJ9TEDqMm1I,videos/aula2.mp4,compartilhada entre as 3 trilhas
3,Fertilidade não nasce do acaso – ela nasce do equilíbrio,1KdVuzjIoyeCO7hjeNjqWJ7EruBJTBPWi,videos/aula3.mp4,compartilhada entre as 3 trilhas
4,Caminho da Consistência – A fertilidade se constrói com rotina,1-OfyGyUIcXvDonqPMHOLYLHRvvxlfZTp,videos/aula4.mp4,compartilhada entre as 3 trilhas
5,"Corpo limpo, óvulo forte – Alimentação e detox na fertilidade",11rclZ9j6GMiMqSmdSN-_zFkhyuBQ-TSV,videos/aula5.mp4,compartilhada entre as 3 trilhas
6,Os Sabotadores Invisíveis – O que atrasa a sua gravidez sem você perceber,1IivFEjbiUEyUJCQaH8KKXC25vjg9lZMv,videos/aula6.mp4,compartilhada entre as 3 trilhas
7,"Corpo fértil, mente em paz – Preparando seu corpo para receber o seu bebê",1pZwEdKBAu_sz3dpqNhIVCIqkj7e8C5mz,videos/aula7.mp4,compartilhada entre as 3 trilhas
0,"Boas-vindas (versão 2, 3MB)",1--xei_Cq3UZ8pJIai2bQcype0bk5F4o4,videos/boas-vindas-2.mp4,CONFIRMAR qual é a versão correta
